"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C2,C1,C4,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"100nF";;;
2;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"ext. +5V";;;
3;"J4";"PinHeader_1x04_P2.54mm_Horizontal";1;"USB_CON";;;
4;"C6,C5";"CP_Elec_6.3x7.7";2;"470uF";;;
5;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
6;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"180k";;;
7;"J3";"USB_Mini-B_Wuerth_65100516121_Horizontal";1;"USB_B_Mini";;;
8;"U1";"SOIC-14_3.9x8.7mm_P1.27mm";1;"CH315G";;;
9;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"MODE";;;
10;"J1";"RJ45_Amphenol_RJHSE538X";1;"RJ45_LED_Shielded";;;
